Simulation,Fees,Delta (%)
0,0.0,0.0
1,7510.0,inf
2,19600.0,inf
3,9461.0,inf
4,15835.0,inf
5,11350.0,inf
6,25436.0,inf
7,12061.0,inf
8,3462.0,inf
9,45320.0,inf
10,9840.0,inf
